PID IID Y
1 P1 NA
2 P2 NA
3 P3 NA
4 P4 NA
5 P5 NA
6 P6 NA
7 P7 NA
8 P8 NA
9 P9 NA
10 P10 NA
11 P11 NA
12 P12 NA
13 P13 NA
14 P14 NA
15 P15 NA
16 P16 NA
17 P17 NA
18 P18 NA
19 P19 NA
20 P20 NA
21 P21 NA
22 P22 NA
23 P23 NA
24 P24 NA
25 P25 NA
26 P26 NA
27 P27 NA
28 P28 NA
29 P29 NA
30 P30 NA
31 P31 NA
32 P32 NA
33 P33 NA
34 P34 NA
35 P35 NA
36 P36 NA
37 P37 NA
38 P38 NA
39 P39 NA
40 P40 NA
41 P41 NA
42 P42 NA
43 P43 NA
44 P44 NA
45 P45 NA
46 P46 NA
47 P47 NA
48 P48 NA
49 P49 NA
50 P50 NA
51 P51 NA
52 P52 NA
53 P53 NA
54 P54 NA
55 P55 NA
56 P56 NA
57 P57 NA
58 P58 NA
59 P59 NA
60 P60 NA
61 P61 NA
62 P62 NA
63 P63 NA
64 P64 NA
65 P65 NA
66 P66 NA
67 P67 NA
68 P68 NA
69 P69 NA
70 P70 NA
71 P71 NA
72 P72 NA
73 P73 NA
74 P74 NA
75 P75 NA
76 P76 NA
77 P77 NA
78 P78 NA
79 P79 NA
80 P80 NA
81 P81 NA
82 P82 NA
83 P83 NA
84 P84 NA
85 P85 NA
86 P86 NA
87 P87 NA
88 P88 NA
89 P89 NA
90 P90 NA
91 P91 NA
92 P92 NA
93 P93 NA
94 P94 NA
95 P95 NA
96 P96 NA
97 P97 NA
98 P98 NA
99 P99 NA
100 P100 NA
101 P101 20.692
102 P102 9.09
103 P103 22.66
104 P104 19.331
105 P105 19.131
106 P106 14.83
107 P107 18.141
108 P108 28.119
109 P109 19.83
110 P110 23.603
111 P111 22.078
112 P112 22.291
113 P113 17.582
114 P114 22.676
115 P115 22.621
116 P116 21.071
117 P117 19.128
118 P118 17.717
119 P119 18.371
120 P120 16.488
121 P121 20.449
122 P122 18.905
123 P123 12.169
124 P124 19.113
125 P125 15.48
126 P126 18.391
127 P127 20.169
128 P128 17.478
129 P129 21.836
130 P130 23.897
131 P131 12.732
132 P132 18.736
133 P133 13.531
134 P134 17.391
135 P135 24.478
136 P136 21.659
137 P137 18.815
138 P138 18.757
139 P139 15.427
140 P140 15.829
141 P141 25.595
142 P142 21.247
143 P143 21.168
144 P144 15.902
145 P145 22.358
146 P146 12.619
147 P147 20.036
148 P148 17.456
149 P149 15.812
150 P150 24.744
